year,month,day,IHR1,IHR2,amplitude,phase
1905,1,1,-0.76582,1.6125,1.7851,7
1905,1,2,-0.73969,1.6833,1.8387,7
1905,1,3,-0.73199,1.7849,1.9291,7
1905,1,4,-0.7571,1.8674,2.0151,7
1905,1,5,-0.79932,1.8859,2.0483,7
1905,1,6,-0.82641,1.8194,1.9983,7
1905,1,7,-0.81042,1.6791,1.8645,7
1905,1,8,-0.74311,1.5054,1.6788,7
1905,1,9,-0.64017,1.3519,1.4958,7
1905,1,10,-0.53355,1.2651,1.3731,7
1905,1,11,-0.45801,1.2632,1.3437,7
1905,1,12,-0.43939,1.3272,1.3981,7
1905,1,13,-0.48975,1.4079,1.4906,7
1905,1,14,-0.60644,1.446,1.568,7
1905,1,15,-0.77273,1.3963,1.5959,7
1905,1,16,-0.96032,1.2452,1.5725,7
1905,1,17,-1.1359,1.0122,1.5215,8
1905,1,18,-1.2689,0.73699,1.4674,8
1905,1,19,-1.3367,0.45817,1.4131,8
1905,1,20,-1.3255,0.19859,1.3403,8
1905,1,21,-1.2287,-0.035501,1.2292,1
1905,1,22,-1.0456,-0.24163,1.0732,1
1905,1,23,-0.78557,-0.4073,0.88488,1
1905,1,24,-0.47303,-0.50737,0.69367,2
1905,1,25,-0.14753,-0.51687,0.53751,2
1905,1,26,0.14642,-0.42872,0.45303,3
1905,1,27,0.37327,-0.26353,0.45692,4
1905,1,28,0.51625,-0.062548,0.52002,4
1905,1,29,0.57836,0.13203,0.59324,5
1905,1,30,0.57477,0.29681,0.64688,5
1905,1,31,0.52015,0.43074,0.67535,5
1905,2,1,0.4206,0.54078,0.68509,6
1905,2,2,0.27644,0.62379,0.6823,6
1905,2,3,0.092474,0.66373,0.67014,6
1905,2,4,-0.11612,0.64537,0.65574,7
1905,2,5,-0.32677,0.56987,0.65691,7
1905,2,6,-0.51701,0.45749,0.69036,8
1905,2,7,-0.66953,0.33915,0.75053,8
1905,2,8,-0.77475,0.24477,0.8125,8
1905,2,9,-0.83243,0.19433,0.85482,8
1905,2,10,-0.8522,0.19235,0.87364,8
1905,2,11,-0.85032,0.22775,0.88029,8
1905,2,12,-0.84408,0.27882,0.88894,8
1905,2,13,-0.84592,0.32142,0.90493,8
1905,2,14,-0.85931,0.33541,0.92245,8
1905,2,15,-0.8766,0.30898,0.92945,8
1905,2,16,-0.88091,0.24094,0.91326,8
1905,2,17,-0.85224,0.1419,0.86398,8
1905,2,18,-0.77558,0.033102,0.77628,8
1905,2,19,-0.6459,-0.056235,0.64835,1
1905,2,20,-0.46834,-0.095424,0.47796,1
1905,2,21,-0.25479,-0.060545,0.26188,1
1905,2,22,-0.022512,0.059685,0.06379,7
1905,2,23,0.2034,0.26415,0.33339,6
1905,2,24,0.38617,0.54102,0.6647,6
1905,2,25,0.47824,0.86622,0.98947,6
1905,2,26,0.43092,1.1991,1.2742,6
1905,2,27,0.21279,1.4844,1.4996,6
1905,2,28,-0.17193,1.6654,1.6743,7
1905,3,1,-0.67715,1.7044,1.834,7
1905,3,2,-1.2285,1.5977,2.0153,7
1905,3,3,-1.7485,1.3765,2.2253,8
1905,3,4,-2.1795,1.0941,2.4387,8
1905,3,5,-2.4905,0.80522,2.6174,8
1905,3,6,-2.6744,0.55026,2.7304,8
1905,3,7,-2.7406,0.34874,2.7627,8
1905,3,8,-2.7112,0.19915,2.7185,8
1905,3,9,-2.6166,0.082557,2.6179,8
1905,3,10,-2.4884,-0.028907,2.4885,1
1905,3,11,-2.3515,-0.15853,2.3568,1
1905,3,12,-2.2235,-0.3159,2.2458,1
1905,3,13,-2.1148,-0.49711,2.1724,1
1905,3,14,-2.0288,-0.69021,2.143,1
1905,3,15,-1.9612,-0.87892,2.1491,1
1905,3,16,-1.9035,-1.0475,2.1727,1
1905,3,17,-1.8488,-1.19,2.1987,1
1905,3,18,-1.7934,-1.3179,2.2255,1
1905,3,19,-1.7306,-1.455,2.261,1
1905,3,20,-1.6463,-1.6188,2.3088,1
1905,3,21,-1.5211,-1.8034,2.3592,2
1905,3,22,-1.341,-1.9777,2.3895,2
1905,3,23,-1.1061,-2.0979,2.3717,2
1905,3,24,-0.83304,-2.1241,2.2816,2
1905,3,25,-0.55023,-2.0352,2.1083,2
1905,3,26,-0.28931,-1.8377,1.8604,2
1905,3,27,-0.076088,-1.5641,1.566,2
1905,3,28,0.073172,-1.2646,1.2667,3
1905,3,29,0.15129,-0.99458,1.006,3
1905,3,30,0.15928,-0.80216,0.81782,3
1905,3,31,0.10671,-0.7133,0.72123,3
1905,4,1,0.010049,-0.72277,0.72284,3
1905,4,2,-0.11063,-0.79817,0.8058,2
1905,4,3,-0.23326,-0.8967,0.92655,2
1905,4,4,-0.33292,-0.98283,1.0377,2
1905,4,5,-0.38344,-1.0374,1.106,2
1905,4,6,-0.36384,-1.0551,1.116,2
1905,4,7,-0.26943,-1.036,1.0705,2
1905,4,8,-0.12169,-0.97977,0.9873,2
1905,4,9,0.032788,-0.88908,0.88969,3
1905,4,10,0.14053,-0.77801,0.7906,3
1905,4,11,0.16632,-0.67253,0.69279,3
1905,4,12,0.10812,-0.60069,0.61034,3
1905,4,13,-0.007865,-0.58149,0.58154,2
1905,4,14,-0.14368,-0.62106,0.63746,2
1905,4,15,-0.26372,-0.71622,0.76323,2
1905,4,16,-0.33945,-0.85639,0.92121,2
1905,4,17,-0.35146,-1.0201,1.0789,2
1905,4,18,-0.29549,-1.1722,1.2088,2
1905,4,19,-0.18885,-1.2722,1.2861,2
1905,4,20,-0.06635,-1.2907,1.2924,2
1905,4,21,0.034588,-1.2222,1.2227,3
1905,4,22,0.089106,-1.085,1.0887,3
1905,4,23,0.091357,-0.91402,0.91858,3
1905,4,24,0.053567,-0.75127,0.75318,3
1905,4,25,0.0010549,-0.636,0.636,3
1905,4,26,-0.03494,-0.59235,0.59337,2
1905,4,27,-0.027653,-0.61914,0.61976,2
1905,4,28,0.033369,-0.68739,0.6882,3
1905,4,29,0.13344,-0.75055,0.76232,3
1905,4,30,0.2345,-0.76395,0.79913,3
1905,5,1,0.28919,-0.70445,0.76149,3
1905,5,2,0.26114,-0.57963,0.63575,3
1905,5,3,0.14021,-0.42417,0.44674,3
1905,5,4,-0.053492,-0.28559,0.29056,2
1905,5,5,-0.27771,-0.20702,0.34638,1
1905,5,6,-0.48391,-0.21391,0.52908,1
1905,5,7,-0.63309,-0.31084,0.70528,1
1905,5,8,-0.70339,-0.48448,0.85409,1
1905,5,9,-0.68896,-0.70686,0.98707,2
1905,5,10,-0.59513,-0.9376,1.1105,2
1905,5,11,-0.43501,-1.1332,1.2138,2
1905,5,12,-0.22742,-1.2646,1.2849,2
1905,5,13,0.005606,-1.3318,1.3318,3
1905,5,14,0.24501,-1.3612,1.3831,3
1905,5,15,0.48178,-1.3856,1.4669,3
1905,5,16,0.71977,-1.4219,1.5937,3
1905,5,17,0.97009,-1.4617,1.7544,3
1905,5,18,1.2399,-1.4762,1.9279,3
1905,5,19,1.5215,-1.4309,2.0887,4
1905,5,20,1.788,-1.3026,2.2122,4
1905,5,21,1.999,-1.0905,2.2771,4
1905,5,22,2.1152,-0.81676,2.2674,4
1905,5,23,2.1156,-0.5175,2.178,4
1905,5,24,2.0077,-0.22667,2.0205,4
1905,5,25,1.8247,0.037433,1.8251,5
1905,5,26,1.6096,0.27528,1.633,5
1905,5,27,1.3953,0.49679,1.4811,5
1905,5,28,1.1903,0.70678,1.3843,5
1905,5,29,0.97891,0.89439,1.326,5
1905,5,30,0.73764,1.0335,1.2697,6
1905,5,31,0.45614,1.0931,1.1844,6
1905,6,1,0.15174,1.0533,1.0642,6
1905,6,2,-0.13277,0.91854,0.92808,7
1905,6,3,-0.34676,0.71957,0.79876,7
1905,6,4,-0.45455,0.5005,0.6761,7
1905,6,5,-0.44758,0.30002,0.53884,8
1905,6,6,-0.34118,0.14006,0.36881,8
1905,6,7,-0.16373,0.02841,0.16618,8
1905,6,8,0.050747,-0.032831,0.060441,4
1905,6,9,0.26646,-0.042605,0.26984,4
1905,6,10,0.45056,-0.00398,0.45058,4
1905,6,11,0.58027,0.0698,0.58445,5
1905,6,12,0.64824,0.1521,0.66585,5
1905,6,13,0.66368,0.20832,0.69561,5
1905,6,14,0.64732,0.20786,0.67988,5
1905,6,15,0.62289,0.13566,0.63749,5
1905,6,16,0.60925,-0.0036907,0.60926,4
1905,6,17,0.61735,-0.18747,0.64519,4
1905,6,18,0.65097,-0.37909,0.75331,4
1905,6,19,0.70849,-0.53414,0.88728,4
1905,6,20,0.78359,-0.61096,0.99362,4
1905,6,21,0.86667,-0.5832,1.0446,4
1905,6,22,0.94742,-0.44864,1.0483,4
1905,6,23,1.0172,-0.22728,1.0423,4
1905,6,24,1.0676,0.048884,1.0688,5
1905,6,25,1.0877,0.34625,1.1414,5
1905,6,26,1.0615,0.63228,1.2355,5
1905,6,27,0.97353,0.87307,1.3077,5
1905,6,28,0.81799,1.032,1.3169,6
1905,6,29,0.60962,1.0759,1.2366,6
1905,6,30,0.38495,0.98781,1.0602,6
1905,7,1,0.18994,0.77885,0.80168,6
1905,7,2,0.060478,0.4907,0.49442,6
1905,7,3,0.0090819,0.18739,0.18761,6
1905,7,4,0.022177,-0.060201,0.064155,3
1905,7,5,0.064691,-0.19376,0.20427,3
1905,7,6,0.089518,-0.18834,0.20853,3
1905,7,7,0.053908,-0.063895,0.083598,3
1905,7,8,-0.061461,0.12155,0.1362,7
1905,7,9,-0.23988,0.29552,0.38062,7
1905,7,10,-0.43059,0.39857,0.58674,8
1905,7,11,-0.56538,0.40556,0.69579,8
1905,7,12,-0.58509,0.33415,0.67378,8
1905,7,13,-0.46571,0.23703,0.52256,8
1905,7,14,-0.23114,0.17763,0.29151,8
1905,7,15,0.05601,0.20032,0.20801,6
1905,7,16,0.32037,0.30956,0.44549,5
1905,7,17,0.5038,0.46996,0.68897,5
1905,7,18,0.58538,0.62696,0.85776,6
1905,7,19,0.58341,0.73723,0.94014,6
1905,7,20,0.53839,0.78791,0.95429,6
1905,7,21,0.4883,0.79324,0.93148,6
1905,7,22,0.45079,0.77451,0.89615,6
1905,7,23,0.4208,0.74243,0.85339,6
1905,7,24,0.38008,0.69191,0.78943,6
1905,7,25,0.31175,0.61036,0.68536,6
1905,7,26,0.21051,0.49176,0.53493,6
1905,7,27,0.082874,0.3469,0.35666,6
1905,7,28,-0.062359,0.20064,0.21011,7
1905,7,29,-0.22247,0.079425,0.23622,8
1905,7,30,-0.40037,-0.00064364,0.40037,1
1905,7,31,-0.59697,-0.036202,0.59807,1
1905,8,1,-0.8044,-0.032992,0.80507,1
1905,8,2,-1.0033,-0.0023615,1.0033,1
1905,8,3,-1.1661,0.03907,1.1667,8
1905,8,4,-1.2638,0.071363,1.2659,8
1905,8,5,-1.2761,0.077757,1.2785,8
1905,8,6,-1.1961,0.053412,1.1972,8
1905,8,7,-1.0324,0.0077187,1.0324,8
1905,8,8,-0.80727,-0.04202,0.80836,1
1905,8,9,-0.55495,-0.080253,0.56073,1
1905,8,10,-0.31938,-0.098827,0.33432,1
1905,8,11,-0.14675,-0.099553,0.17733,1
1905,8,12,-0.069442,-0.094089,0.11694,2
1905,8,13,-0.091345,-0.10017,0.13556,2
1905,8,14,-0.18626,-0.13446,0.22972,1
1905,8,15,-0.31031,-0.20778,0.37345,1
1905,8,16,-0.41834,-0.32289,0.52846,1
1905,8,17,-0.47711,-0.47276,0.67167,1
1905,8,18,-0.47216,-0.63902,0.79453,2
1905,8,19,-0.40853,-0.79583,0.89456,2
1905,8,20,-0.30472,-0.9185,0.96773,2
1905,8,21,-0.18137,-0.99111,1.0076,2
1905,8,22,-0.048895,-1.0067,1.0079,2
1905,8,23,0.097205,-0.96232,0.96722,3
1905,8,24,0.2688,-0.8545,0.89578,3
1905,8,25,0.4707,-0.68368,0.83005,3
1905,8,26,0.69206,-0.46292,0.83261,4
1905,8,27,0.90859,-0.22287,0.93553,4
1905,8,28,1.092,-0.0049535,1.092,4
1905,8,29,1.2193,0.15426,1.229,5
1905,8,30,1.279,0.23876,1.3011,5
1905,8,31,1.2735,0.25622,1.299,5
1905,9,1,1.2198,0.22532,1.2404,5
1905,9,2,1.146,0.15848,1.1569,5
1905,9,3,1.0827,0.058229,1.0842,5
1905,9,4,1.05,-0.070718,1.0524,4
1905,9,5,1.0481,-0.20844,1.0686,4
1905,9,6,1.0565,-0.32142,1.1043,4
1905,9,7,1.0455,-0.37613,1.1111,4
1905,9,8,0.99142,-0.35189,1.052,4
1905,9,9,0.88847,-0.24336,0.9212,4
1905,9,10,0.74969,-0.056955,0.75185,4
1905,9,11,0.59747,0.19319,0.62793,5
1905,9,12,0.45023,0.4868,0.66308,6
1905,9,13,0.31369,0.79902,0.85839,6
1905,9,14,0.18052,1.1013,1.116,6
1905,9,15,0.038274,1.3614,1.362,6
